#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Aliarcobacter sp.","Bacteria;Other;Other","Gw_Prim_bin_162","SAMN18120519","PRJNA524094","GCA_018058645.1","Scaffold",1.69306,27.3,,"JAGOZM01",84,1762,"2021-04-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/058/645/GCA_018058645.1_ASM1805864v1",
"Aliarcobacter sp.","Bacteria;Other;Other","Gw_Prim_bin_214","SAMN18119283","PRJNA524094","GCA_018000075.1","Contig",0.67997,28.1,,"JAGNKP01",37,723,"2021-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/000/075/GCA_018000075.1_ASM1800007v1",
"Aliarcobacter sp.","Bacteria;Other;Other","Go_Inlet_bin_154","SAMN18119593","PRJNA524094","GCA_017985575.1","Scaffold",1.81167,27.2,,"JAGNXH01",132,1841,"2021-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/985/575/GCA_017985575.1_ASM1798557v1",
"Aliarcobacter sp.","Bacteria;Other;Other","Gw_Prim_bin_115","SAMN18119268","PRJNA524094","GCA_018000495.1","Contig",0.781801,26.7,,"JAGNJV01",55,807,"2021-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/000/495/GCA_018000495.1_ASM1800049v1",
"Aliarcobacter sp.","Bacteria;Other;Other","Go_Inlet_bin_71","SAMN18119009","PRJNA524094","GCA_018000155.1","Scaffold",0.539537,28,,"JAGNKL01",41,547,"2021-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/000/155/GCA_018000155.1_ASM1800015v1",
"Aliarcobacter sp.","Bacteria;Other;Other","Go_SlPrim_bin_95","SAMN18120137","PRJNA524094","GCA_017995775.1","Scaffold",2.51314,27.2,,"JAGOIF01",209,2566,"2021-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/995/775/GCA_017995775.1_ASM1799577v1",
"Aliarcobacter sp.","Bacteria;Other;Other","Go_Inlet_bin_92","SAMN18119012","PRJNA524094","GCA_018000675.1","Scaffold",0.840493,27,,"JAGNJL01",66,903,"2021-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/000/675/GCA_018000675.1_ASM1800067v1",
"uncultured Aliarcobacter sp.","Bacteria;Other;Other","Lapin-028__bin12","SAMEA112230040","PRJEB50625","GCA_947629065.1","Contig",1.72425,28.1,,"CANRCH01",206,0,"2022-12-18T00:00:00Z",,
"Aliarcobacter sp.","Bacteria;Other;Other","Gw_Inlet_bin_216","SAMN18120453","PRJNA524094","GCA_018059935.1","Scaffold",1.29306,28.5,,"JAGOWY01",179,1328,"2021-04-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/059/935/GCA_018059935.1_ASM1805993v1",
"Aliarcobacter sp.","Bacteria;Other;Other","HJF.26","SAMN27163743","PRJNA730330","GCA_023262865.1","Scaffold",1.58507,27.9,,"JALQYO01",428,0,"2022-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/262/865/GCA_023262865.1_ASM2326286v1",
